,videoId,numberOfLikes,numberOfDislikes,numberOfComments,videoDuration,videoCategory,videoTags,title,channel_title,description,publishTime,channel_id,url,thumbnails
0,owutZE-RvE8,,,,PT14M35S,Sports,"['Archer', 'Dudley', 'EVO NTN', 'PSE EVO', 'PSE', 'PSE BOWS', 'PSE ARCHERY', 'PSE NATION', 'BOWHUNTING', 'ARCHERY', 'NOCK ON', 'NOCK ON ARCHERY', 'NOCK ON NATION', 'JOHN DUDLEY', 'HOYT', 'HOYT ARCHERY', 'MATHEWS', 'MATHEWS ARCHERY', 'LEARN ARCHERY', 'LEARN BOWHUNTING', 'HOW TO SHOOT A BOW', 'HOW TO SHOOT A COMPOUND BOW', 'ARCHERY EQUIPMENT', 'ARCHERY BOWS', 'BOWHUNTING BOWS', 'NEW BOWS', 'BEST BOWS', 'BOW AND ARROW', 'BOWHUNTING 101', 'ARCHERY 101', 'ELK HUNTING', 'DEER HUNTING', 'SITKA', 'SUBALPINE', 'JOE ROGAN']",Traeger Grilling 101,nockonarchery,"There's nothing like cooking on a @Traeger Grills. Ask anyone who owns one how they like it, and get ready for a passionate expression of pure Traeger love!",2021-05-11T17:49:43Z,UCZ0_SNBxvCZyEqURjK8dTPQ,https://www.youtube.com/watch?v=owutZE-RvE8,https://i.ytimg.com/vi/owutZE-RvE8/hqdefault.jpg
1,1p9XmRTJekk,1422,76,123,PT2M6S,Howto & Style,"['Traeger', 'Traeger Grills', 'Traegering', 'Pellet Grills', 'Wood Pellet Grills', 'BBQ', 'Grilling', 'Pellet Smokers', 'traeger ad', 'pellet grills', 'wood pellet grills', 'wood pellet grill', 'pellet grill', 'bbq grills', 'grills', 'traeger', 'traeger grills', 'pellet smoker', 'pellet smokers', 'smokers', 'best pellet grills', 'grilling', 'wifi pellet grills', 'wifi grills', 'wifire', 'best grills', 'best bbq grills', 'how it works', 'how to', 'how does a pellet grill work']",What Makes Traeger The Best Pellet Grill?,Traeger Grills,Are you ready to experience the wood-fired flavor you've been missing? Then stop grilling and start Traegering! Shop Now: https://www.traegergrills.com ...,2019-03-15T17:07:40Z,UCAPurPyFOTA47NvS5K0UhBg,https://www.youtube.com/watch?v=1p9XmRTJekk,https://i.ytimg.com/vi/1p9XmRTJekk/hqdefault.jpg
2,NcAxNONT2aA,228,4,17,PT1H13M11S,Howto & Style,,Traeger BBQ Brisket With Clarence Joseph,Traeger Grills,"Traeger Kitchen Live puts you in the kitchen with your favorite Traeger chefs & pitmasters, where they walk you through the steps of cooking a different ...",2021-09-03T00:19:27Z,UCAPurPyFOTA47NvS5K0UhBg,https://www.youtube.com/watch?v=NcAxNONT2aA,https://i.ytimg.com/vi/NcAxNONT2aA/hqdefault.jpg
3,I8MFMMgxDKA,1575,16,154,PT21M29S,People & Blogs,"['traeger', 'traeger ironwood', 'traeger ironwood 885', 'ironwood 885', 'traeger smoker', 'traeger grill', 'traeger pellet grill', 'traeger pellet smoker', 'traeger ironwood pellet grill', 'traeger ironwood 885 pellet grill', 'best pellet grill', 'pellet grill', 'pellet smoker', 'best traeger', 'grilling', 'smoking meats', 'smoked brisket', 'pellet smoker brisket', 'traeger brisket']",Wood Fired Pellet Grill Done RIGHT! | Traeger Ironwood 885 Review,Jeremy Siers,UPDATED NEW TRADE COFFEE OFFER AVAILABLE****** Since recording this the good folks at trade have sent me a new and better offer for you guys!,2021-08-20T22:23:32Z,UCZZoxczMLOYZQqNY0eyLheQ,https://www.youtube.com/watch?v=I8MFMMgxDKA,https://i.ytimg.com/vi/I8MFMMgxDKA/hqdefault.jpg
4,mwiHc8z7fN0,96,2,6,PT17M28S,People & Blogs,"['bbqool', 'barbecue', 'affumicatura', 'cottura diretta', 'cottura indiretta', 'direct cooking', 'indirect cooking', 'ilbordons', 'bordoni', 'bbqool.it', 'cucina', 'cooking', 'cooking show', 'ricette', 'ricettario', 'broil king', 'weber', 'smash burger', 'traeger ranger', 'smash burger ricetta', 'ricetta smash burger', 'smash burger ingredienti', 'bordons', 'bordons bbqool', 'bordons bbq', ""traeger ranger cos'è"", 'traeger ranger come funziona', 'ranger come va', 'barbecue a pellet']",Gli smash burger sul Traeger Ranger. Alzi la mano chi ne vuole uno!,BBQool,"Alzi la mano chi vuole uno smash burger. Cos'è uno smash Burger? Non ve lo spiego tanto io quanto i ragazzi di BBQLAB, dove siamo arrivati con il nostro ...",2021-09-07T17:00:37Z,UCSYHltPtTUn8kAqfLlNlAHw,https://www.youtube.com/watch?v=mwiHc8z7fN0,https://i.ytimg.com/vi/mwiHc8z7fN0/hqdefault.jpg
5,NrBJBQ6vSGw,366,6,102,PT10M11S,Entertainment,"['Pit Boss Pellet Smoker', 'Traeger Pellet Smoker', 'Pit Boss vs T', 'pit boss vs traeger', 'Pit Boss Vs Traeger Pellet Grill', 'pellet bbq', 'traeger grills', 'pellet grill reviews', 'grill reviews', 'bbq grill reviews', 'pit boss wood pellet grill smoker vs traeger', 'best pellet smoker for home use', 'which pellet grill produces the most smoke', 'what pellet grill to buy', 'pellet grill review', 'pellet grill recipes', 'pellet grill reviews 2021', 'pellet grill ribs', 'pit boss pellet grill vs traeger']",Pit Boss vs Traeger Pellet Grill #BestBangForTheBuck #PitBoss #Traeger,Grill Sergeant,In todays video we look at a Pit Boss pellet smoker and a Traeger pellet smoker that are the exact same price and compare them. We look at these smokers from ...,2021-07-31T14:00:11Z,UC8ro64K8FIWNXCmkXAba0cQ,https://www.youtube.com/watch?v=NrBJBQ6vSGw,https://i.ytimg.com/vi/NrBJBQ6vSGw/hqdefault.jpg
6,yAnyiokYTaw,157,3,10,PT1H45S,Howto & Style,,Butter Basted Porterhouse Steaks with Diva Q,Traeger Grills,"Traeger Kitchen Live puts you in the kitchen with your favorite Traeger chefs & pitmasters, where they walk you through the steps of cooking a different ...",2021-08-20T00:08:06Z,UCAPurPyFOTA47NvS5K0UhBg,https://www.youtube.com/watch?v=yAnyiokYTaw,https://i.ytimg.com/vi/yAnyiokYTaw/hqdefault.jpg
7,jyXslKxbOcY,12,0,5,PT11M33S,Entertainment,"['Review', 'Product reivew', 'before you buy', 'amazon', 'review channel', 'grill comparison', 'blind taste test', 'what grill is best', 'best grill', 'traeger', 'traeger grills', 'charboil grill', 'george foreman grill', 'blackstone grill']","Outdoor Grill BLIND Taste Test! Traeger, BlackStone, George Foreman, Gas Grill",BeforeYouBuy,"We thought it would be easy! It wasn't. The blind taste test proved to us, it's harder than you think to match the burger to the grill. It's grilling season, and everyone ...",2021-09-03T18:19:34Z,UCTEo3zrbzU1Drp2vZJ7lHdw,https://www.youtube.com/watch?v=jyXslKxbOcY,https://i.ytimg.com/vi/jyXslKxbOcY/hqdefault.jpg
8,zGQxcAnOR4E,14,0,9,PT18M24S,Howto & Style,"['barbecue', 'bbq', 'how to smoke brisket on pellet grill', 'beef brisket', 'pellet smoker', 'pellet grill', 'smoked brisket', 'traeger grill', 'smoked brisket rub recipe', 'smoked brisket on a charcoal grill', 'traeger brisket smoking', 'pellet smoker recipes', 'Uncle steves shake', 'traditional texas brisket recipe', 'texas brisket recipe', 'uncle steves shake seasoning', 'how to smoke a brisket', 'how to', 'brisket on a traeger', 'how to smoke brisket', 'pellet smoker brisket']",How to smoke brisket on a pellet grill Traeger brisket recipe BBQ shake,GreenhornBBQbeer,"Today I show you how to smoke a brisket on a pellet grill, and I used my Traeger and a new brisket recipe with an awesome tasty BBQ shake seasoning I think ...",2021-09-06T01:00:09Z,UCdFd8FDuV7Fha5OjHCyZeDQ,https://www.youtube.com/watch?v=zGQxcAnOR4E,https://i.ytimg.com/vi/zGQxcAnOR4E/hqdefault.jpg
9,MdQSC8i6ukU,364,2,45,PT7M44S,Entertainment,"['Heath Riles BBQ', 'Heath Riles Recipes', 'Heath Riles Videos', 'Heath Riles Ribs', 'Heath and Malcom', 'Recipes', 'How to cook', 'How to BBQ', 'BBQ', 'Ribs', 'BBQ Ribs', 'How to cook Ribs', 'How to smoke ribs', 'how to grill ribs', 'BBQ Pork', 'Baby Back Ribs', 'St. Louis Ribs', 'BBQ Recipes', 'Rib Recipe', 'Rib Video', 'Pork', 'Grilling', 'Smoking', ""Heath's Ribs"", 'Best Rib Recipe', 'Smoked Ribs', 'Cheshire Pork', 'BBQ RIb', 'Traeger Grills', 'Traeger', 'Ribs on Traeger', 'Traeger Recipe', 'Cajun Ribs', 'Dry Ribs', 'Cajun Creole']",Cajun Creole Garlic Butter Ribs | Traeger Grill | Heath Riles,Heath Riles BBQ,Cajun Creole Garlic Butter Baby Back Ribs on the Traeger Timberline 1300 #ribs #cajun #heathrilesbbq WHAT HEATH USED IN THIS RECIPE: • Cheshire Pork ...,2021-08-31T20:00:03Z,UCtPVT3HYB5jHMD2NWaMxzxQ,https://www.youtube.com/watch?v=MdQSC8i6ukU,https://i.ytimg.com/vi/MdQSC8i6ukU/hqdefault.jpg
